```
Rank            Smasher                Mains
1               ThundeRzReiGN          Donkey Kong, Captain Falcon
2               Lunchables             Toon Link, Roy, Marth
3               Sosa                   Wario
4               Malachi                Peach, Sheik
5               Junebug                Diddy Kong, Ganondorf
6               MrLz                   Mr. Game & Watch
7               Gallo                  Mario
8               HyperFlame             Lucas
9               Jose V                 Ness
10              Flipp                  Snake
11              Emiller                Meta Knight
12              Professor Pro          Snake
13              Frozen                 Mewtwo
14              Envy                   Ike
15              iPunchKidsz            Lucario
16              dvd                    Toon Link
17              Jaden                  Sheik, Peach
18              Switch                 Wolf
19              Darc                   Captain Falcon, Sheik, Marth
20              Hungrybox              Jigglypuff
21              Dirtboy                Squirtle
22              Boringman              Mario, Meta Knight
23              Phresh                 Ice Climbers
24              Anther                 Pikachu
25              Venom                  Captain Falcon
```
