```
Rank            Smasher                Mains
1               Fukurou                Kirby
2               Alvin                  Captain Falcon, Pikachu
3               Kurabba                Yoshi
4               SuPeRbOoMfAn           Captain Falcon, Pikachu
5               Wizzrobe               Yoshi
6               wangera                Jigglypuff
7               kysk                   Kirby
8               Mariguas               Pikachu
9               Dext3r                 Pikachu
10              wario                  Pikachu
11              Isai                   (all)
12              Zero                   Captain Falcon, Pikachu
13              Prince                 Yoshi
14              tacos                  Yoshi, Pikachu
15              KeroKeroppi            Pikachu, Captain Falcon, Kirby
16              TR3GTheZ               Fox
17              Gyaki                  Link
18              Brody                  Pikachu
19              LD                     Fox
20              Hiyo                   Yoshi
21              Taimai                 Fox
22              Joshi                  Pikachu
23              Yuu                    Captain Falcon
24              Revan                  Kirby
25              JaimeHR                Captain Falcon, Pikachu
26              DTan                   Kirby
27              Stranded               Captain Falcon, Pikachu
28              Lowww                  Captain Falcon, Fox, Pikachu
29              Hero Pie               Pikachu
30              lord narwhal           Captain Falcon
31              Shalaka                Pikachu
32              Fireblaster            Yoshi
```
