```
Rank            Smasher                Mains
1               wario                  Pikachu
2               SuPeRbOoMfAn           Captain Falcon, Pikachu, Kirby
3               Isai                   Pikachu
4               Alvin                  Captain Falcon, Pikachu
5               wangera                Jigglypuff
6               Mariguas               Pikachu
7               Wizzrobe               Yoshi
8               tacos                  Yoshi
9               Dext3r                 Pikachu
10              KeroKeroppi            Pikachu, Kirby
11              The Z                  Pikachu, Fox
12              Kurabba                Yoshi
13              Prince                 Yoshi
14              Stranded               Pikachu, Captain Falcon
15              Revan                  Kirby
16              LD                     Fox
17              Derek                  Pikachu
18              Kort                   Pikachu, Link
19              Zero                   Captain Falcon
20              bonobono               Yoshi
21              Banze                  Pikachu
22              Bark Sanchez           Pikachu
23              JaimeHR                Captain Falcon, Mario
24              Fireblaster            Yoshi, Mario
25              Firo                   Ness, Link
26              Hero Pie               Pikachu, Captain Falcon, Fox
27              DTan                   Kirby
28              Shalaka                Pikachu
29              lord narwhal           Captain Falcon
30              Kimimaru               Mario
31              YBOMBB                 Jigglypuff
32              clubbadubba            Pikachu
```
