```
Rank            Smasher                Mains
33              Kyle Tree              Pikachu
34              Star King              Kirby
35              Shears                 Yoshi, Pikachu
36              HandsomeTom            Kirby
37              Nintendude             Fox
38              Cobr                   Captain Falcon, Kirby, Samus
39              Marbles                Pikachu
40              NTA                    Captain Falcon, Mario, Samus
41              NaCl                   Kirby
42              Combo Blaze            Captain Falcon
43              SheerMadness           Yoshi
44              Near                   Fox, Captain Falcon
45              Zantetsu               Pikachu, Captain Falcon
46              Wookiee                Pikachu
47              Robert                 Pikachu, Kirby
48              $$$ Jim $$$            Fox
49              Snorlax                Pikachu
50              CTG                    Jigglypuff
51              Janitor                Captain Falcon, Pikachu
52              Da Bear                Pikachu
53              SotoH                  Kirby, Pikachu
54              Dajjal                 Fox
55              Darkhorse              Captain Falcon
56              hipstur                Fox
57              nothing                Captain Falcon
58              B Link                 Pikachu
59              Jimmy Joe              Pikachu, Jigglypuff
60              Lorenzo                Donkey Kong
61              D35                    Pikachu, Captain Falcon
62              DOGG                   Pikachu
63              Pete                   Yoshi
64              Jason                  Captain Falcon
```
